Sample,YrBP,Abies,Acer,Alnus,Betula,Carya,Corylus,Cupressaceae,Fagus,Fraxinus,Larix,Ostrya.Carpinus,Picea,Pinus,Quercus,Tilia,Tsuga,Ulmus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Poaceae
site_10034_15032_1,0,0.02275017,0.009694584,0.026833849,0.206767568,0.001257416,0.000614483,0.003868231,0.00022122,0.001629914,0,0.000369372,0.093505772,0.496216896,0.027553436,0,0.05550428,0.008980562,0.005022811,0.020167138,0.008718367,0.001692943,0.008630988
site_10034_15032_2,100,0.022471687,0.009249815,0.02743758,0.208839683,0.001198141,0.000624147,0.003891337,0.000263951,0.001473957,0,0.000351842,0.092062859,0.497044775,0.027793521,0,0.055338892,0.009421183,0.004599613,0.019445504,0.008438069,0.001746244,0.008307201
site_10034_15032_3,200,0.021811453,0.008765265,0.027977097,0.210956432,0.0012361,0.000729314,0.004005922,0.000327444,0.001292854,0,0.000407753,0.089260265,0.499863779,0.028314137,0,0.055269357,0.00938132,0.00408138,0.017975893,0.008426152,0.001904767,0.008013315
site_10034_15032_4,300,0.021240229,0.008477504,0.0275252,0.21388692,0.001131616,0.000946434,0.004160643,0.000320021,0.001120621,0,0.000525167,0.085422465,0.503630016,0.028826472,0,0.054517178,0.008998383,0.003647716,0.016914143,0.008871299,0.001905279,0.007932694
site_10034_15032_5,400,0.020353846,0.007858765,0.02644101,0.217277128,0.000946905,0.001236059,0.004316797,0.000303197,0.000827643,0,0.000661708,0.079158191,0.511929831,0.029195004,0,0.054236424,0.00820323,0.003102462,0.014926289,0.009494917,0.001876678,0.007653915
site_10034_15032_6,500,0.018973437,0.006616557,0.024393604,0.21815526,0.000756079,0.001564008,0.004195327,0.000282034,0.000484396,0,0.000679928,0.069095383,0.530532341,0.028608468,0,0.056243169,0.006880558,0.00237324,0.011408051,0.009629971,0.001966661,0.007161529
site_10034_15032_7,600,0.017145257,0.005168619,0.019964326,0.215719364,0.000701192,0.001929981,0.004154222,0.000167462,6.69E-05,0,0.000698205,0.055545757,0.559102696,0.025955628,0,0.061816216,0.004251596,0.001894566,0.006833719,0.01007454,0.002100429,0.006709371
site_10034_15032_8,700,0.017722344,0.00480232,0.016683665,0.20905733,0.000678153,0.001695698,0.004130121,0,0,0,0.000509658,0.052571676,0.571991044,0.021752218,0,0.068995255,0.00313416,0.002571837,0.005659736,0.009842704,0.001782037,0.006420045
site_10034_15032_9,800,0.018448764,0.004722569,0.016113493,0.20089578,0.000934055,0.001329482,0.003882297,0,0,0,0.000219433,0.054707843,0.576272567,0.018054674,0,0.077320697,0.003529732,0.003043914,0.004504063,0.008538415,0.001711965,0.005770257
site_10034_15032_10,900,0.019032546,0.004927211,0.015861153,0.195926668,0.00126994,0.001131908,0.003656198,0,9.51E-05,0,0,0.054880373,0.578072167,0.014502036,0,0.085438481,0.004661698,0.002937159,0.003431288,0.00697784,0.001792455,0.00540575
