"Sample","YrBP","Abies","Cupressaceae","Larix","Picea","Pinus","Tsuga","Acer","Alnus","Betula","Carya","Corylus","Fagus","Fraxinus","Ostrya.Carpinus","Quercus","Tilia","Ulmus","Ambrosia","Artemisia","Asteraceae","Amarantaceae","Poaceae"
"Lily1",1057,34,0,0,40,74,9,5,9,302,0,5,1,3,0,8,2,3,12,6,1,2,0
"Lily2",1205,32,0,1,16,67,7,4,13,386,0,12,0,0,1,2,0,1,4,3,1,0,0
"Lily3",1277,22,0,0,16,59,6,5,11,305,0,0,0,0,0,6,0,1,5,1,1,1,0
"Lily4",1387,29,0,0,26,118,5,10,20,356,0,0,1,1,0,12,0,2,9,4,1,0,1
"Lily5",1499,45,0,0,55,186,8,6,15,337,0,0,0,2,0,14,0,3,2,7,0,0,0
"Lily6",1571,31,0,0,33,87,3,4,16,307,0,0,0,2,0,9,1,1,14,2,0,1,1
"Lily7",1644,41,0,2,60,139,6,5,12,462,0,0,0,0,0,18,0,6,2,2,0,4,0
"Lily8",1719,43,0,1,57,162,8,13,14,497,3,9,2,6,0,25,0,4,27,9,0,5,1
"Lily9",1792,28,5,2,42,142,4,7,8,426,1,0,0,3,23,16,0,6,19,4,0,2,2
"Lily10",1865,35,0,4,72,360,15,13,34,720,0,7,0,7,0,33,0,5,4,8,5,3,2
"Lily11",1936,47,1,5,75,345,11,8,27,713,0,0,2,9,0,37,0,8,8,0,0,3,0
"Lily12",2008,54,6,3,66,309,7,8,0,621,1,5,2,7,5,38,0,10,6,14,0,2,0
"Lily13",2081,56,0,0,46,308,6,2,4,452,0,0,1,0,0,26,0,8,4,12,1,5,1
"Lily14",2153,76,0,0,51,342,7,12,2,460,0,0,0,7,1,30,0,6,6,11,0,0,0
"Lily15",2226,50,0,0,61,327,9,0,1,509,0,4,0,2,0,25,2,7,3,8,6,3,0
"Lily16",2315,55,0,4,46,357,2,7,3,415,0,3,0,5,0,32,0,3,2,3,1,4,0
"Lily17",2442,50,0,0,51,350,9,19,18,526,0,3,2,6,0,25,1,9,7,7,0,3,4
"Lily18",2507,34,3,4,31,305,10,7,10,317,0,0,0,2,0,20,0,3,2,7,1,1,1
"Lily19",2635,46,8,2,27,249,9,4,10,330,0,0,0,3,11,22,0,6,4,6,0,4,1
"Lily20",2762,14,1,0,42,319,4,14,21,537,1,12,0,7,2,27,1,9,4,11,1,0,1
"Lily21",2889,26,0,5,23,275,12,11,19,340,0,5,0,4,1,18,0,2,11,3,1,2,0
"Lily22",3017,34,0,0,45,319,8,5,20,311,0,8,2,3,0,11,0,5,5,17,1,0,0
"Lily23",3141,38,11,4,21,320,3,4,3,479,1,7,1,5,1,15,1,4,4,4,0,3,0
"Lily24",3268,35,3,0,42,402,5,11,13,451,0,8,0,5,3,33,0,9,8,5,0,2,3
"Lily25",3396,2,0,0,1,130,0,0,5,171,0,0,0,0,0,8,0,1,0,2,1,0,0
"Lily26",3523,25,0,0,29,310,0,4,16,313,0,4,0,1,0,19,0,4,4,6,2,0,0
"Lily27",3650,45,0,0,17,337,1,5,14,328,0,2,0,2,0,12,0,3,4,4,2,0,0
"Lily28",3713,46,0,2,18,434,4,6,15,370,0,0,0,3,0,8,0,3,5,6,1,1,0
"Lily29",3837,43,0,0,20,350,0,12,11,308,0,0,0,1,0,17,1,6,11,8,2,1,0
"Lily30",3966,72,0,0,33,369,0,4,10,315,0,3,0,6,7,28,0,3,9,9,0,5,3
"Lily31",4094,34,0,0,24,381,0,6,3,256,0,0,0,2,0,22,0,2,0,4,0,4,1
"Lily32",4223,55,0,4,18,397,0,8,7,232,0,0,0,1,0,23,0,5,7,5,2,2,1
"Lily33",4354,47,4,0,24,253,0,2,5,245,0,3,1,5,2,15,0,3,6,5,0,1,2
"Lily34",4490,39,0,0,20,263,0,6,4,194,0,0,1,0,0,7,0,6,7,6,0,0,0
"Lily35",4631,63,0,0,32,523,0,10,6,337,0,1,0,3,3,28,0,10,8,9,0,1,0
"Lily36",4767,63,0,1,32,501,6,4,10,303,2,2,0,2,6,16,1,0,1,2,0,1,2
"Lily37",4906,23,3,0,19,348,1,2,12,365,2,1,0,3,0,13,0,3,3,5,0,0,1
"Lily38",5040,9,0,0,19,434,0,4,22,343,0,0,0,1,10,24,1,0,5,6,0,0,3
"Lily39",5173,44,0,2,19,329,0,0,5,345,0,0,0,5,0,16,0,1,3,6,1,2,0
"Lily40",5314,46,0,0,24,553,0,0,4,399,0,0,0,2,0,11,0,2,6,11,3,1,1
"Lily41",5451,30,0,1,28,662,1,6,1,337,0,2,0,1,0,14,1,6,4,9,0,2,0
"Lily42",5588,26,1,1,13,676,6,1,16,319,1,7,0,1,3,17,0,3,6,7,0,3,4
"Lily43",5726,16,0,2,7,643,7,6,17,222,0,7,0,3,3,15,0,5,2,6,1,4,3
"Lily44",5862,11,0,0,14,513,0,0,1,191,0,0,0,2,0,14,0,5,2,2,0,2,0
"Lily45",5998,8,0,0,17,425,0,2,6,116,0,2,0,0,0,13,0,3,3,0,0,0,3
"Lily46",6135,22,0,1,13,405,1,2,4,275,0,2,0,4,0,19,0,2,12,8,1,7,0
"Lily47",6271,34,0,0,67,582,0,2,4,161,0,1,0,0,5,11,0,4,3,1,0,1,1
"Lily48",6416,27,1,1,30,436,0,0,2,102,0,2,0,1,4,8,0,4,3,4,0,0,1
"Lily49",6586,5,1,0,10,575,0,0,8,174,0,0,0,0,0,6,0,9,2,3,0,0,2
"Lily50",6754,23,0,0,12,620,0,2,15,263,0,0,0,5,0,22,0,9,4,8,0,3,1
"Lily51",6926,8,0,0,2,468,0,2,0,124,0,0,0,1,0,11,1,2,7,1,0,2,0
"Lily52",7096,15,0,0,62,712,0,2,13,260,0,0,0,7,0,39,0,11,14,12,0,7,3
"Lily53",7271,24,0,0,41,406,0,2,8,195,0,18,0,10,0,9,0,11,3,3,0,3,0
"Lily54",7444,6,3,0,2,621,0,0,2,141,0,4,0,1,0,12,0,13,4,12,0,3,0
"Lily55",7611,30,0,3,19,874,0,9,22,305,0,5,0,1,0,22,0,6,18,22,1,5,2
"Lily56",7784,16,0,0,9,367,1,0,2,160,0,0,0,2,0,10,0,3,7,4,1,2,1
"Lily57",7959,33,0,0,28,486,0,3,28,263,0,12,0,1,3,13,0,3,7,14,0,5,3
"Lily58",8131,13,0,0,11,147,0,1,23,188,0,7,0,0,0,13,0,3,10,8,0,1,0
"Lily59",8301,25,0,0,5,199,1,2,6,199,0,8,0,3,0,11,0,5,2,1,2,8,0
"Lily60",8468,44,0,0,26,339,1,4,14,263,0,6,0,4,0,8,0,4,14,10,0,1,0
"Lily61",8602,53,0,0,21,271,0,1,18,318,3,2,0,5,0,5,0,10,20,9,1,9,0
