Sample,YrBP,Abies,Acer,Alnus,Betula,Carya,Corylus,Cupressaceae,Fagus,Fraxinus,Larix,Ostrya.Carpinus,Picea,Pinus,Quercus,Tilia,Tsuga,Ulmus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Poaceae
1,-49.3,12,4,12,55,1,0,2,0,2,0,0,25,171,11,0,21,0,1,6,2,0,6
2,-20.9,6,6,7,86,0,1,2,0,1,0,1,29,184,9,0,15,3,4,3,6,1,3
3,10.8,8,4,6,53,0,0,1,0,0,0,0,42,174,7,0,21,3,2,9,4,0,0
4,43.2,6,4,6,86,2,0,0,0,0,0,0,45,160,12,0,21,3,2,15,2,1,6
5,75.4,8,2,8,86,0,0,2,0,0,0,0,38,167,11,0,18,1,4,15,6,1,4
6,83.6,9,0,14,91,0,1,2,0,1,0,0,31,161,9,0,19,3,3,9,6,1,6
7,100,8,3,6,64,0,0,1,0,0,0,0,46,187,8,0,20,4,1,8,0,0,0
8,108.2,9,5,10,55,0,0,1,0,1,0,0,23,180,10,0,21,6,0,3,2,0,0
9,121.7,8,5,9,70,0,0,0,0,1,0,0,18,169,7,0,15,5,1,3,0,0,5
10,174.5,6,2,9,66,1,0,2,1,0,0,0,31,160,7,0,21,3,1,3,2,2,0
11,188.6,5,0,16,67,1,0,1,0,0,0,0,28,156,12,0,20,4,0,2,1,1,2
12,382.2,6,3,8,77,0,1,3,0,0,0,1,15,140,12,0,9,1,0,3,6,0,3
13,582.3,3,1,3,58,0,1,0,0,0,0,0,11,170,7,0,17,1,0,2,2,1,2
14,779.7,6,1,4,52,0,0,1,0,0,0,0,18,157,5,0,21,0,2,1,3,0,1
15,974.4,5,1,6,54,1,0,2,0,0,0,0,13,152,2,0,25,2,0,1,1,1,2
16,1169.1,6,3,3,54,0,1,0,0,0,0,0,19,176,4,0,31,2,1,0,2,0,1
17,1368,8,2,4,64,0,0,0,0,1,0,0,10,144,3,0,26,4,1,0,1,0,1
18,1628.2,0,3,1,77,0,0,4,0,1,0,0,4,149,5,0,10,3,0,0,1,0,2
19,1739.6,4,4,5,66,0,0,0,0,0,0,0,13,159,2,0,12,1,0,0,1,1,0
20,1868.2,9,4,5,52,1,0,1,0,1,0,0,13,164,8,0,8,0,0,4,5,1,4
21,2126.1,7,2,4,71,0,0,2,0,0,0,0,6,163,2,0,16,2,0,0,0,1,0
22,2379.5,7,1,2,74,1,0,1,0,1,0,0,2,160,4,0,21,0,1,2,4,0,1
23,2640.9,2,3,0,81,1,0,0,0,1,0,0,4,159,9,0,13,1,1,3,0,0,2
24,2941.4,3,6,4,54,0,0,2,0,1,0,0,7,183,5,0,9,0,0,0,1,0,1
25,3279.1,3,6,5,44,0,0,2,0,0,0,0,9,171,5,0,4,3,2,1,1,1,1
26,3423.9,3,3,4,66,0,0,4,0,1,0,0,7,163,11,0,8,1,0,4,2,0,1
27,3613.6,3,1,5,43,1,1,2,0,0,0,0,7,179,13,0,1,4,0,2,0,0,1
28,3756,3,6,5,47,1,0,10,0,0,0,0,1,179,11,1,1,0,0,3,2,0,0
29,4088.7,5,3,6,31,1,0,0,0,2,0,0,3,217,9,1,1,4,2,0,2,1,1
30,4423.2,2,2,5,51,0,0,7,0,3,0,0,3,177,10,0,3,4,0,2,0,0,0
31,4756.3,6,5,6,30,0,0,2,0,1,0,1,8,186,10,0,3,1,0,1,1,0,1
32,5088.2,11,3,3,10,1,0,1,0,0,0,1,5,215,5,0,10,0,0,0,0,2,0
33,5254,5,0,2,10,0,0,0,0,0,0,0,4,222,4,0,16,1,0,2,0,1,0
34,5614.1,6,4,3,16,0,0,0,0,1,0,0,5,225,4,1,6,4,0,0,2,0,0
35,5999.1,1,0,0,6,1,0,0,0,0,0,0,6,248,7,0,6,1,0,0,0,0,1
36,6387.8,2,0,0,4,0,0,0,0,0,0,1,3,269,3,0,0,1,0,1,0,1,1
37,6722.9,0,1,1,13,0,1,1,0,1,0,1,2,242,8,0,0,0,1,1,2,2,1
38,7003.9,1,0,2,21,1,2,1,0,1,0,0,0,225,8,0,0,2,0,0,0,0,0
39,7169.1,1,1,2,7,0,0,2,0,0,0,0,4,283,3,0,2,1,0,0,0,0,0
40,7449.9,1,0,0,7,0,0,0,0,0,1,0,2,251,0,0,0,2,0,0,0,0,0
