ID2,Long,Lat,x-error (m),y-error (m),avg-error (m),,
1,-69.992,60.979,27,55.66,41.33,,
2,-79.2,46.05,386.29,556.59,471.44,,
3,-57.033,52.517,33.87,55.66,44.765,,
4,-85.5,36.033,45.01,55.66,50.335,,
5,-73.311,45.543,38.98,55.66,47.32,,
6,-70.685,47.482,37.62,55.66,46.64,,
7,-70.05,44.47,397.19,556.59,476.89,,
8,-67.331,45.256,39.18,55.66,47.42,,
9,-77.917,42.25,41.2,55.66,48.43,,
10,-70.596,46.279,38.47,55.66,47.065,,
11,-76.12,54.047,32.68,55.66,44.17,,
12,-78.55,39.767,42.78,55.66,49.22,,
13,-88.474,33.563,46.38,55.66,51.02,,
14,-89.867,43.083,40.65,55.66,48.155,,
15,-95.167,47.183,37.83,55.66,46.745,,
16,-63.2,55.333,31.66,55.66,43.66,,
17,-70.675,45.567,38.97,55.66,47.315,,
18,-74.683,43.917,40.09,55.66,47.875,,
19,-85.017,30.267,48.07,55.66,51.865,,
20,-71.7735,41.6979,4.16,5.57,4.865,,
21,-63.25,55.667,31.39,55.66,43.525,,
22,-72.999,46.614,38.23,55.66,46.945,,
23,-74.658,41.3314,4.18,5.57,4.875,,
24,-76.146,54.799,32.08,55.66,43.87,,
25,-86.53,41.65,415.89,556.59,486.24,,
26,-107.933,50.874,35.12,55.66,45.39,,
27,-93.27,42.02,413.49,556.59,485.04,,
28,-67.883,46.283,38.47,55.66,47.065,,
29,-115.317,67.833,21,55.66,38.33,,
30,-80.283,38.2,43.74,55.66,49.7,,
31,-81.267,49.183,36.38,55.66,46.02,,
32,-79.83,43.5,403.73,556.59,480.16,,
33,-77.55,39.967,42.66,55.66,49.16,,
34,-84.9536,44.7189,3.95,5.57,4.76,,
35,-91.1,36.8,4456.75,5565.85,5011.3,,
36,-105.267,55.267,31.71,55.66,43.685,,
37,-91.475,45.275,39.17,55.66,47.415,,
38,-71.833,44.033,40.02,55.66,47.84,,
39,-85,43.48,403.87,556.59,480.23,,
40,-89.732,43.418,40.43,55.66,48.045,,
41,-69.958,60.988,26.99,55.66,41.325,,
42,-76.45,36.583,44.69,55.66,50.175,,
43,-70.35,45.85,387.68,556.59,472.135,,
44,-71.6593,44.1605,3.99,5.57,4.78,,
45,-80.25,44.367,39.79,55.66,47.725,,
46,-95.808,34.406,45.92,55.66,50.79,,
47,-83.63,42.33,411.47,556.59,484.03,,
48,-93.75,49.583,36.09,55.66,45.875,,
49,-94.417,44.95,39.39,55.66,47.525,,
50,-73.476,46.276,38.47,55.66,47.065,,
51,-87.7305,44.0534,4,5.57,4.785,,
52,-60.392,46.067,38.62,55.66,47.14,,
53,-86.134,31.721,47.34,55.66,51.5,,
54,-100.467,64.717,23.77,55.66,39.715,,
55,-62.633,55.033,31.9,55.66,43.78,,
56,-78.997,37.985,43.87,55.66,49.765,,
57,-76.7,44.417,39.75,55.66,47.705,,
58,-53.133,47.322,37.73,55.66,46.695,,
59,-73.968,44.181,39.92,55.66,47.79,,
60,-73.979,42.242,41.2,55.66,48.43,,
61,-63.033,58.2,29.33,55.66,42.495,,
62,-89.7,46.183,38.54,55.66,47.1,,
63,-74.433,40.383,42.4,55.66,49.03,,
64,-78.67,42.542,41.01,55.66,48.335,,
65,-86.53,41.67,415.76,556.59,486.175,,
66,-66.083,66.135,22.52,55.66,39.09,,
67,-81.767,47.317,37.73,55.66,46.695,,
68,-85.717,37.45,44.19,55.66,49.925,,
69,-92.717,46.417,38.37,55.66,47.015,,
70,-92.62,46.72,381.58,556.59,469.085,,
71,-70.3,46.717,38.16,55.66,46.91,,
72,-67.5,54.8,3208.34,5565.85,4387.095,,
73,-73.331,45.964,38.69,55.66,47.175,,
74,-84.783,45.067,39.31,55.66,47.485,,
